iter	Passed	Remaining
0	79	79360
1	89	44805
2	94	31415
3	100	24916
4	106	21250
5	112	18562
6	118	16794
7	124	15383
8	129	14272
9	134	13290
10	139	12550
11	144	11863
12	150	11416
13	156	11021
14	161	10588
15	167	10279
16	173	10025
17	179	9768
18	186	9621
19	194	9509
20	199	9280
21	204	9082
22	211	8965
23	218	8885
24	225	8800
25	232	8695
26	238	8611
27	242	8434
28	249	8342
29	255	8255
30	261	8187
31	268	8120
32	274	8030
33	279	7937
34	284	7830
35	290	7772
36	294	7656
37	298	7546
38	303	7480
39	309	7428
40	316	7410
41	323	7374
42	328	7317
43	335	7300
44	342	7274
45	348	7233
46	351	7129
47	357	7093
48	361	7010
49	367	6989
50	374	6964
51	380	6936
52	386	6908
53	394	6904
54	400	6874
55	405	6840
56	413	6834
57	418	6804
58	425	6793
59	431	6755
60	438	6743
61	445	6739
62	452	6736
63	460	6734
64	467	6726
65	473	6700
66	480	6686
67	489	6702
68	499	6735
69	510	6782
70	522	6834
71	531	6853
72	541	6872
73	547	6853
74	554	6833
75	561	6829
76	568	6811
77	574	6790
78	582	6788
79	586	6739
80	591	6714
81	599	6708
82	605	6691
83	612	6678
84	617	6648
85	623	6624
86	629	6603
87	635	6581
88	641	6567
89	647	6549
90	652	6522
91	659	6507
92	665	6488
93	671	6473
94	678	6461
95	683	6433
96	689	6419
97	696	6407
98	702	6390
99	706	6362
100	713	6351
101	716	6310
102	722	6296
103	729	6283
104	734	6263
105	741	6251
106	746	6230
107	752	6218
108	758	6201
109	764	6185
110	769	6163
111	772	6126
112	778	6114
113	786	6114
114	795	6118
115	800	6103
116	808	6102
117	815	6096
118	821	6081
119	825	6052
120	832	6049
121	837	6029
122	844	6021
123	851	6012
124	856	5997
125	860	5966
126	865	5951
127	871	5939
128	877	5926
129	884	5916
130	889	5902
131	895	5888
132	900	5869
133	907	5862
134	914	5859
135	921	5852
136	927	5841
137	933	5832
138	940	5828
139	949	5831
140	955	5821
141	961	5811
142	968	5804
143	973	5784
144	980	5782
145	985	5766
146	992	5759
147	998	5745
148	1003	5732
149	1009	5720
150	1016	5714
151	1021	5696
152	1027	5689
153	1034	5684
154	1041	5680
155	1046	5662
156	1053	5654
157	1059	5647
158	1066	5641
159	1073	5635
160	1079	5626
161	1082	5597
162	1084	5566
163	1089	5555
164	1095	5543
165	1102	5536
166	1109	5535
167	1115	5524
168	1118	5497
169	1123	5487
170	1129	5474
171	1135	5468
172	1142	5460
173	1144	5433
174	1148	5416
175	1155	5409
176	1160	5397
177	1167	5392
178	1174	5385
179	1179	5374
180	1186	5367
181	1192	5359
182	1198	5351
183	1205	5347
184	1212	5341
185	1218	5333
186	1223	5320
187	1230	5314
188	1235	5302
189	1240	5287
190	1246	5278
191	1253	5273
192	1259	5267
193	1265	5257
194	1271	5249
195	1278	5243
196	1285	5237
197	1289	5223
198	1295	5213
199	1301	5204
200	1307	5199
201	1311	5180
202	1317	5172
203	1324	5167
204	1330	5159
205	1336	5152
206	1342	5141
207	1348	5136
208	1352	5117
209	1353	5091
210	1359	5082
211	1365	5076
212	1370	5063
213	1372	5041
214	1376	5025
215	1382	5016
216	1388	5010
217	1394	5003
218	1401	4997
219	1408	4992
220	1412	4979
221	1418	4970
222	1424	4962
223	1430	4956
224	1436	4948
225	1443	4942
226	1448	4931
227	1454	4925
228	1460	4916
229	1463	4899
230	1469	4892
231	1471	4872
232	1477	4863
233	1480	4845
234	1481	4822
235	1487	4817
236	1495	4813
237	1501	4808
238	1508	4803
239	1512	4790
240	1519	4784
241	1525	4778
242	1531	4769
243	1536	4762
244	1543	4755
245	1547	4742
246	1553	4734
247	1559	4728
248	1566	4723
249	1572	4718
250	1579	4713
251	1585	4705
252	1592	4702
253	1599	4697
254	1605	4690
